iter	Passed	Remaining
0	112	112710
1	131	65589
2	147	48915
3	163	40703
4	180	35953
5	203	33731
6	223	31722
7	240	29820
8	256	28269
9	271	26866
10	285	25657
11	302	24888
12	321	24412
13	338	23840
14	359	23580
15	384	23633
16	408	23644
17	428	23365
18	445	22982
19	460	22548
20	480	22379
21	499	22199
22	517	21961
23	533	21694
24	549	21417
25	565	21198
26	582	20977
27	598	20783
28	614	20566
29	630	20393
30	647	20248
31	664	20102
32	679	19920
33	697	19817
34	714	19688
35	732	19621
36	751	19551
37	767	19441
38	784	19333
39	801	19227
40	816	19104
41	833	19005
42	848	18892
43	865	18801
44	881	18715
45	898	18626
46	914	18542
47	931	18476
48	949	18422
49	967	18377
50	983	18298
51	1000	18248
52	1019	18222
53	1037	18175
54	1058	18187
55	1077	18161
56	1094	18103
57	1110	18031
58	1128	17997
59	1145	17945
60	1163	17906
61	1179	17845
62	1197	17809
63	1213	17753
64	1232	17722
65	1249	17680
66	1265	17619
67	1282	17577
68	1299	17529
69	1318	17515
70	1335	17473
71	1355	17465
72	1371	17416
73	1389	17387
74	1406	17344
75	1423	17304
76	1440	17265
77	1456	17214
78	1472	17165
79	1488	17117
80	1504	17070
81	1521	17033
82	1538	16998
83	1556	16970
84	1572	16926
85	1587	16870
86	1603	16830
87	1621	16803
88	1637	16764
89	1654	16730
90	1670	16688
91	1686	16649
92	1703	16609
93	1719	16577
94	1735	16536
95	1752	16499
96	1769	16471
97	1786	16440
98	1803	16414
99	1821	16390
100	1837	16357
101	1855	16332
102	1871	16296
103	1887	16263
104	1904	16236
105	1924	16231
106	1941	16204
107	1960	16190
108	1981	16196
109	1999	16181
110	2019	16174
111	2038	16159
112	2055	16135
113	2071	16100
114	2088	16069
115	2104	16036
116	2121	16008
117	2137	15978
118	2154	15953
119	2172	15931
120	2190	15913
121	2206	15881
122	2223	15851
123	2239	15823
124	2256	15796
125	2273	15768
126	2290	15742
127	2306	15715
128	2328	15719
129	2347	15708
130	2365	15693
131	2382	15667
132	2400	15651
133	2418	15628
134	2434	15601
135	2450	15569
136	2469	15557
137	2486	15530
138	2503	15510
139	2521	15488
140	2537	15459
141	2555	15442
142	2575	15436
143	2593	15419
144	2611	15397
145	2630	15386
146	2646	15358
147	2663	15334
148	2679	15306
149	2696	15277
150	2712	15251
151	2732	15245
152	2749	15222
153	2765	15191
154	2783	15173
155	2801	15157
156	2818	15134
157	2834	15105
158	2852	15087
159	2869	15062
160	2886	15044
161	2902	15014
162	2920	14997
163	2937	14973
164	2954	14951
165	2970	14925
166	2989	14912
167	3004	14881
168	3021	14855
169	3037	14831
170	3054	14808
171	3073	14793
172	3090	14775
173	3109	14759
174	3129	14752
175	3153	14762
176	3175	14767
177	3201	14783
178	3247	14892
179	3268	14891
180	3285	14868
181	3302	14843
182	3320	14824
183	3336	14798
184	3352	14768
185	3368	14740
186	3384	14713
187	3402	14697
188	3419	14674
189	3436	14651
190	3453	14627
191	3470	14603
192	3487	14580
193	3503	14556
194	3524	14549
195	3541	14526
196	3565	14531
197	3581	14508
198	3598	14485
199	3615	14462
200	3633	14442
201	3649	14418
202	3665	14392
203	3680	14362
204	3697	14338
205	3717	14330
206	3736	14314
207	3754	14295
208	3772	14276
209	3790	14261
210	3807	14237
211	3824	14214
212	3840	14191
213	3857	14168
214	3875	14148
215	3891	14123
216	3910	14111
217	3928	14091
218	3945	14070
219	3961	14046
220	3978	14023
221	3994	13998
222	4011	13976
223	4029	13957
224	4045	13936
225	4061	13910
226	4077	13886
227	4094	13863
228	4111	13843
229	4132	13833
230	4149	13814
231	4169	13802
232	4191	13796
233	4208	13777
234	4226	13758
235	4243	13736
236	4258	13708
237	4273	13682
238	4288	13656
239	4303	13629
240	4319	13602
241	4335	13578
242	4351	13554
243	4368	13535
244	4384	13510
245	4401	13489
246	4417	13467
247	4433	13443
248	4452	13429
249	4468	13406
250	4485	13385
251	4502	13363
252	4519	13345
253	4536	13324
254	4552	13300
255	4568	13277
256	4584	13252
257	4600	13230
258	4618	13212
259	4635	13193
260	4651	13171
261	4667	13146
262	4684	13127
263	4700	13103
264	4715	13079
265	4733	13061
266	4749	13038
267	4764	13014
268	4780	12990
269	4796	12967
270	4811	12943
271	4827	12921
272	4844	12899
273	4862	12882
274	4878	12861
275	4893	12837
276	4911	12820
277	4930	12804
278	4952	12797
279	4967	12774
280	4985	12755
281	5007	12749
282	5025	12733
283	5048	12728
284	5070	12721
285	5101	12735
286	5118	12716
287	5133	12692
288	5153	12678
289	5168	12653
290	5184	12632
291	5200	12609
292	5216	12588
293	5233	12567
294	5251	12549
295	5268	12530
296	5285	12510
297	5301	12488
298	5316	12464
299	5335	12449
300	5352	12429
301	5368	12408
302	5387	12392
303	5406	12377
304	5423	12357
305	5439	12337
306	5456	12316
307	5472	12294
308	5490	12278
309	5510	12264
310	5527	12245
311	5546	12230
312	5563	12210
313	5580	12192
314	5601	12181
315	5618	12161
316	5633	12138
317	5649	12115
318	5664	12091
319	5678	12066
320	5693	12042
321	5708	12019
322	5723	11996
323	5738	11972
324	5752	11948
325	5766	11922
326	5781	11898
327	5796	11876
328	5811	11853
329	5826	11828
330	5841	11807
331	5856	11782
332	5871	11760
333	5885	11736
334	5901	11714
335	5916	11691
336	5948	11703
337	5970	11693
338	5988	11676
339	6007	11661
340	6023	11640
341	6038	11617
342	6052	11593
343	6068	11571
344	6082	11548
345	6096	11523
346	6111	11501
347	6126	11478
348	6141	11456
349	6156	11432
350	6171	11410
351	6185	11386
352	6199	11363
353	6214	11339
354	6228	11316
355	6243	11293
356	6257	11270
357	6271	11246
358	6288	11228
359	6303	11207
360	6319	11186
361	6335	11165
362	6351	11145
363	6366	11124
364	6380	11101
365	6395	11078
366	6409	11055
367	6423	11031
368	6437	11008
369	6451	10984
370	6466	10962
371	6480	10941
372	6495	10919
373	6516	10907
374	6531	10885
375	6545	10862
376	6559	10840
377	6574	10818
378	6588	10795
379	6603	10774
380	6618	10752
381	6633	10731
382	6649	10711
383	6664	10691
384	6681	10673
385	6696	10652
386	6711	10631
387	6726	10609
388	6740	10586
389	6754	10565
390	6775	10553
391	6789	10531
392	6804	10509
393	6818	10487
394	6833	10467
395	6847	10444
396	6863	10425
397	6877	10402
398	6892	10381
399	6906	10360
400	6921	10339
401	6936	10317
402	6950	10296
403	6965	10275
404	6979	10254
405	6994	10233
406	7012	10216
407	7028	10197
408	7045	10180
409	7065	10166
410	7083	10151
411	7098	10130
412	7112	10109
413	7127	10088
414	7141	10067
415	7158	10049
416	7173	10029
417	7188	10008
418	7202	9987
419	7217	9966
420	7231	9944
421	7245	9923
422	7260	9903
423	7275	9883
424	7290	9863
425	7306	9844
426	7322	9825
427	7336	9804
428	7350	9784
429	7365	9763
430	7380	9743
431	7396	9724
432	7413	9708
433	7429	9689
434	7445	9670
435	7463	9654
436	7477	9634
437	7493	9615
438	7508	9594
439	7523	9575
440	7538	9555
